year,month,day,dayofweek,is_weekend,quarter,sales_lag_1,sales_lag_7,sales_roll_mean_7,predicted_sales,actual_sales,store,item,stock_level,stock_coverage_ratio,recommended_action,reorder_quantity,decision_priority
2013,2,19,1,0,1,12.0,13.0,14.428571428571429,11.050157342657343,14,1,1,152,13.755460242473527,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,20,2,0,1,14.0,14.0,14.571428571428571,10.350157342657344,11,1,1,398,38.45352170248417,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,21,3,0,1,11.0,11.0,14.142857142857142,14.34682400932401,12,1,1,320,22.304588095039836,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,22,4,0,1,12.0,19.0,14.285714285714286,11.716071428571428,18,1,1,156,13.31504343850023,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,23,5,1,1,18.0,15.0,14.142857142857142,13.496428571428572,16,1,1,121,8.965334744641439,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,24,6,1,1,16.0,17.0,14.285714285714286,12.22857142857143,10,1,1,238,19.462616822429904,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,25,0,0,1,10.0,12.0,13.285714285714286,12.08699494949495,12,1,1,70,5.791348494186715,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,26,1,0,1,12.0,14.0,13.285714285714286,11.934772727272726,10,1,1,152,12.73589396911241,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,27,2,0,1,10.0,11.0,12.714285714285714,14.281439393939394,12,1,1,171,11.973583004004986,Promotional Campaign / Discount,0,Low (Clearance)
2013,2,28,3,0,1,12.0,12.0,12.857142857142858,14.364772727272728,9,1,1,264,18.3782928565778,Promotional Campaign / Discount,0,Low (Clearance)
2013,3,1,4,0,1,9.0,18.0,12.428571428571429,13.033333333333331,11,1,1,380,29.15601023017903,Promotional Campaign / Discount,0,Low (Clearance)
